JudgeID,JudgeName,Tournament,Lv,Date,Ev,Rd,Aff,Neg,Vote,Result
,CHRIS THEIS,The Glenbrooks,HS,2015-11-21,LD,4 R4,Marlborough LG,Harvard-Westlake EE,Neg,
,CHRIS THEIS,The Glenbrooks,HS,2015-11-21,LD,3 R3,Newark Science AK,Meadows SK,Aff,
,CHRIS THEIS,The Glenbrooks,HS,2015-11-21,LD,3 R3,Lexington AQ,Kinkaid JY,Neg,
,CHRIS THEIS,The Glenbrooks,HS,2015-11-21,LD,2 R2,Winston Churchill KH,,Aff,
,CHRIS THEIS,The Glenbrooks,HS,2015-11-21,LD,2 R2,Oakwood JS,McDowell AL,Neg,
,CHRIS THEIS,The Glenbrooks,HS,2015-11-21,LD,1 R1,Meadows AT,Harrison KK,Neg,
,CHRIS THEIS,The Glenbrooks,HS,2015-11-21,LD,1 R1,Harker RX,Eastside Catholic DC,Neg,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,10 Semis,Greenhill BE,Strake Jesuit CP SM,Aff,Aff 3-0
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,9 Quarte,Harvard-Westlake NS,Greenhill VA,Neg,Neg 3-0
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,8 Octas,Harvard-Westlake NS,Law Magnet DD,Aff,Aff 3-0
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,8 Octas,Harker KQ,Greenhill BE,Neg,Neg 3-0
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,7 Double,Kinkaid EH,Harker KQ,Neg,Neg 3-0
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,7 Double,Harvard-Westlake CE,Meadows LS,Neg,Neg 2-1
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,6 Round,Cedar Park MG,Harvard-Westlake JN,Aff,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,6 Round,Harvard-Westlake CE,Strake Jesuit CP RC,Aff,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,4 Round,Greenhill GB,Harvard-Westlake EE,Aff,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,3 Round,Harvard-Westlake IP,Meadows KB,Neg,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,3 Round,Hockaday SF,Kinkaid JG,Aff,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,2 Round,Greenhill SA,Strake Jesuit CP SM,Neg,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,2 Round,Meadows AT,Westwood AR,Aff,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,1 Round,Lake Highland Prep JN,Greenhill BE,Neg,
,CHRIS THEIS,Heart of Texas Invitational,HS,2015-10-16,LD,1 Round,Harker SP,West Des Moines Valley SC,Aff,
,CHRIS THEIS,VBI Swarthmore,,2015-07-06,LD,6 R6,Dan Alessandro Academy for Dance Arts Vasanth Venkatasami,Jake Nebel Ivory Tower Atheneum Sophia Wang,Neg,
,CHRIS THEIS,VBI Swarthmore,,2015-07-06,LD,5 R5,Tartakovsky Technikum For Aspiring Tsars Kaleigh Beacham,Kors Consortium for Music and Composition Kavya Sivan,Aff,
,CHRIS THEIS,VBI Swarthmore,,2015-07-06,LD,5 R5,Hwang Hedge Schl Uma Balachandran,Bump's Institute for Billiards and Bowling Ava Holle,Neg,
,CHRIS THEIS,VBI Swarthmore,HS,2015-07-06,LD,4 R4,Garg Laboratories Murray Friedberg,Labarre Finishing Schl Eric Jensen,Neg,
,CHRIS THEIS,Tournament of Champions,HS,2015-04-25,LD,11 Semi,Newark Science CQ,Harker PR,Neg,Neg 2-1
,CHRIS THEIS,Tournament of Champions,HS,2015-04-25,LD,8 Run of,Byram Hills AJ,Newark Science AF,Neg,Neg 2-1
,CHRIS THEIS,Tournament of Champions,HS,2015-04-25,LD,2 R2,Marlborough AG,Newark Science AK,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,11 Final,Harker PR,Greenhill VA,Neg,Aff 2-1
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,10 Semi,Harker PR,Greenhill BE,Neg,Aff 2-1
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,9 Quarte,Newark Science CQ,Greenhill BE,Neg,Neg 2-1
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,8 Octo,Greenhill BE,Harvard-Westlake CE,Aff,Aff 3-0
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,8 Octo,Newark Science CQ,Harvard-Westlake CC,Neg,Aff 2-1
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,7 Double,Marlborough AG,Harvard-Westlake KW,Aff,Aff 2-1
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,6 R6,Marlborough ZW,Gig Harbor AB,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,6 R6,Greenhill BE,Newark Science CQ,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,5 R5,Harvard-Westlake EE,Rancho Bernardo AR,Aff,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,5 R5,Harker SP,Lexington JK,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,4 R4,Harker ML,Harvard-Westlake KW,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,4 R4,Harvard-Westlake CC,Newark Science AK,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,3 R3,Liberty Christian BS,Green Valley RS,Aff,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,2 R2,Meadows MS,Rancho Bernardo IT,Aff,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,2 R2,Harvard-Westlake CE,Harker PR,Neg,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,1 R1,Newark Science SS,Greenhill MM,Aff,
,CHRIS THEIS,National Debate Coaches Association National Championships,HS,2015-04-12,LD,1 R1,Harvard-Westlake IP,Harker KQ,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,9 Octas,Hawken Independent NK,Harvard-Westlake NS,Neg,Neg 3-0
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,8 Double,Harvard-Westlake NS,Meadows KB,Aff,Aff 2-1
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,7 Triple,San Marino NL,Lynbrook DW,Neg,Neg 2-1
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,7 Triple,Lake Highland Prep MK,Hawken Independent NK,Neg,Neg 3-0
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,6 R6,St. Francis HS (Mountain View) PV,Lynbrook YZ,Aff,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,6 R6,Meadows KR,Dougherty Valley RB,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,5 R5,San Marino NL,Marlborough LG,Aff,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,5 R5,Claremont SH,Palo Alto TC,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,4 R4,College Prep ZD,La Reina EP,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,4 R4,Harvard-Westlake WP,Palo Alto AM,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,3 R3,Marlborough GK,Dougherty Valley SZ,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,3 R3,West Des Moines Valley TF,Harvard-Westlake NS,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,2 R2,Lynbrook SS,BASIS Scottsdale CD,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,2 R2,Palo Alto ET,Dougherty Valley AM,Aff,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,1 R1,St. Francis HS (Mountain View) SA,West Des Moines Valley SC,Neg,
,CHRIS THEIS,29th Annual Stanford Invitational,HS,2015-02-08,VLD,1 R1,Rancho Bernardo IT,Capital JS,Aff,
,CHRIS THEIS,Barkley Forum for High Schools,HS,2015-01-23,LD,7 WA Ulr,duPont Manual XH,Harker PR,Neg,Neg 3-0
,CHRIS THEIS,Barkley Forum for High Schools,HS,2015-01-23,LD,6 R6,Greenhill VA,Newark Science CQ,Aff,
,CHRIS THEIS,Barkley Forum for High Schools,HS,2015-01-23,LD,6 R6,Colleyville Heritage AC,Strake Jesuit CP RC,Neg,
,CHRIS THEIS,Barkley Forum for High Schools,HS,2015-01-23,LD,5 R5,Brown BD,Harker PR,Neg,
,CHRIS THEIS,Barkley Forum for High Schools,HS,2015-01-23,LD,1 R1,Bronx Science GM,Upper Arlington HW,Aff,
,CHRIS THEIS,Barkley Forum for High Schools,HS,2015-01-23,LD,1 R1,Harker ZD,St James PD,Neg,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,10 Quarte,Evanston Township JS,Bronx Science DR,Aff,Aff 3-0
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,9 Octos,Evanston Township EW,Hopkins SG,Aff,Aff 3-0
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,8 Double,Bronx Science CL,Evanston Township CT,Aff,Neg 2-1
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,7 Triple,Bronx Science CL,Scarsdale GZ,Aff,Aff 3-0
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,6 R6,Millburn CS,Whitefish Bay EZ,Aff,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,5 R5,Bronx Science DR,Whitefish Bay AP,Aff,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,4 R4,Bronx Science AF,Lake Highland AA,Neg,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,4 R4,Eastside Catholic DD,Scarsdale SJ,Neg,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,3 R3,Evanston Township JS,New Trier SI,Aff,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,3 R3,Lexington LW,Scarsdale ML,Aff,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,2 R2,Hopkins RA,Roseville Area DD,Neg,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,2 R2,St Thomas Academy/Visitation EM,J. Graham Brown VP,Neg,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,1 R1,Scarsdale DW,St Thomas Academy/Visitation NB,Aff,
,CHRIS THEIS,John Edie Holiday Tournament at Blake,HS,2014-12-19,LD,1 R1,St Thomas Academy/Visitation AS,Scarsdale MC,Neg,
,CHRIS THEIS,The Glenbrooks,HS,2014-11-22,VLD,11 Semis,Clements FT,Brentwood JL,Neg,Neg 3-0
,CHRIS THEIS,The Glenbrooks,HS,2014-11-22,VLD,5 Round,Brentwood JL,Greenhill MM,Aff,
,CHRIS THEIS,The Glenbrooks,HS,2014-11-22,VLD,4 Round,Lexington PC,Law Magnet DD,Aff,
,CHRIS THEIS,The Glenbrooks,HS,2014-11-22,VLD,3 Round,Harker MS,Evanston EW,Neg,
,CHRIS THEIS,The Glenbrooks,HS,2014-11-22,VLD,3 Round,Newark Science AF,Lexington DA,Aff,
,CHRIS THEIS,The Glenbrooks,HS,2014-11-22,VLD,2 Round,Bronx Science CL,Cambridge Rindge and Latin PO,Aff,
,CHRIS THEIS,The Glenbrooks,HS,2014-11-22,VLD,1 Round,Bronx Science OK,Anderson BL,Aff,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,9 Octas,Strake Jesuit CP AT,Greenhill GB,Aff,Aff 2-1
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,8 Double,Greenhill VA,Marcus LH,Neg,Aff 2-1
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,8 Double,Greenhill GB,Evanston JS,Neg,Aff 2-1
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,6 Round,Meadows LS,Liberty Christian BS,Neg,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,6 Round,Greenhill GB,Eastside Catholic TD,Aff,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,4 Round,Eastside Catholic DD,Plano East Senior AK,Neg,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,3 Round,Katy Taylor NY,Evanston EW,Neg,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,3 Round,Harvard-Westlake CE,Plano East Senior SA,Neg,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,2 Round,Evanston JS,Greenhill MM,Neg,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,2 Round,Grapevine NS,Harvard-Westlake NS,Neg,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,1 Round,Plano East Senior AB,Grapevine DC,Aff,
,CHRIS THEIS,The Heart of Texas Invitational at St Marks,HS,2014-10-18,LD,1 Round,Brentwood JR,Harvard-Westlake CC,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,6 R6,Hockaday SS,Liberty Christian BS,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,6 R6,Millard West GN,Strake Jesuit CP RC,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,5 R5,Hockaday KK,duPont Manual XH,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,5 R5,St Thomas SK,Bronx Science EF,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,4 R4,West Des Moines Valley CT,Bronx Science SM,Aff,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,4 R4,Hockaday AG,Brentwood SSe,Aff,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,3 R3,Law Magnet KP,Immaculate Heart LM,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,3 R3,Whitefish Bay EZ,Bronx Science JS,Aff,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,2 R2,Bronx Science GM,Meadows AT,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,2 R2,Bronx Science DR,Walt Whitman SP,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,1 R1,Hockaday AH,Evanston EW,Neg,
,CHRIS THEIS,Mid America Cup,HS,2014-09-27,VLD,1 R1,Meadows KT,Bronx Science ID,Neg,
,CHRIS THEIS,Victory Briefs Chicago,HS,2014-07-07,LD,5 Round,NARPs Adam Tomasi,NARPs Daniel Alessandro,Aff,
,CHRIS THEIS,Victory Briefs Chicago,HS,2014-07-07,LD,4 Round,NARPs Kevin Krotz,Academy of Broom Flying Edward Gao,Aff,
,CHRIS THEIS,Victory Briefs Chicago,HS,2014-07-07,LD,3 Round,BenAnnieMollie Max Mahar,BenAnnieMollie Mariah Stewart,Neg,
,CHRIS THEIS,Victory Briefs Chicago,HS,2014-07-07,LD,2 Round,BenAnnieMollie Daniel Lu,NARPs Jackson Lallas,Neg,
,CHRIS THEIS,Victory Briefs Chicago,HS,2014-07-07,LD,2 Round,$$$$$$ Kathy Liu,McHomCha CDI Chicago 2014 Ted Sanders,Aff,
,CHRIS THEIS,Victory Briefs Chicago,HS,2014-07-07,LD,1 Round,$$$$$$ Tina Lu,$$$$$$ Sam Mehlhaff,Neg,
,CHRIS THEIS,Victory Briefs Chicago,HS,2014-07-07,LD,1 Round,McHomCha CDI Chicago 2014 Joey Zhao,Kingdom Arjun Arora,Neg,
,CHRIS THEIS,Tournament of Champions,HS,2014-04-26,LD,5 R5,Kinkaid TG,Travis AS,Aff,
,CHRIS THEIS,Tournament of Champions,HS,2014-04-26,LD,3 R3,Walt Whitman DM,Harker PR,Aff,
,CHRIS THEIS,Tournament of Champions,HS,2014-04-26,LD,1 R1,Presentation SK,Walt Whitman YC,Neg,
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,8 Quarte,Monti DT,Princeton CPr,Aff,Aff 3-0
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,7 Octos,Bronx Science JH,Princeton AH,Aff,Aff 2-1
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,7 Octos,William Tennent MP,Ridge JW,Neg,Neg 3-0
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,6 LD 6,Hill GW,Princeton MNo,Neg,
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,5 LD 5,Millburn AA,Bronx Science DR,Neg,
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,3 LD 3,Bronx Science JH,Millburn MW,Aff,
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,2 LD 2,William Tennent JL,Princeton CPr,Neg,
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,2 LD 2,Sacred Heart HE,Princeton DE,Neg,
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,1 LD 1,William T. Dwyer WY,Princeton KX,Neg,
,CHRIS THEIS,UPenn Liberty Bell Classic,HS,2014-02-15,VLD,1 LD 1,Hill MH,Alexander Dawson EC,Aff,
,CHRIS THEIS,Tournament of Champions,HS,2013-04-27,LD,7 R7,College Prep CL,Brentwood JL,Neg,
,CHRIS THEIS,Tournament of Champions,HS,2013-04-27,LD,6 R6,Northland Christian DL,Harvard-Westlake MO,Aff,
,CHRIS THEIS,Tournament of Champions,HS,2013-04-27,LD,3 R3,Sacred Heart AT,Brentwood JP,Aff,
,CHRIS THEIS,Tournament of Champions,HS,2013-04-27,LD,3 R3,Brentwood MR,FSHA (Flintridge) MA,Neg,
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,8 Run,HarvarAK,MonticLS,Aff,Aff 3-0
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,4 R4,BrentwJP,ChristCL,Neg,
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,4 R4,PingryAK,UniverVM,Aff,
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,3 R3,HarvarAM,HawkenJW,Aff,
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,3 R3,HunterJG,FlintrMC,Aff,
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,2 R2,CollegNE,HarvarSW,Neg,
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,2 R2,FlintrMA,BrentwJL,Neg,
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,1 R1,HarvarAS,San MaJH,Aff,
,CHRIS THEIS,New York City Invitational,HS,2012-10-19,LD,1 R1,KKaid MS,MonticDT,Neg,
